text,label
"TNI Angkatan Darat melaksanakan latihan perang besar di Pulau Jawa, yang melibatkan ribuan prajurit dan puluhan alat utama sistem senjata (alutsista).",real
"Presiden Joko Widodo meresmikan pembangunan markas besar TNI di Jakarta, yang akan menjadi pusat komando dan operasi pertahanan nasional.",real
"TNI berhasil menggagalkan penyelundupan senjata ilegal yang masuk melalui perbatasan Kalimantan, berkat kerjasama intelijen dengan negara tetangga.",real
"Angkatan Laut Indonesia menggagalkan percakapan kapal asing yang mencoba memasuki perairan Indonesia secara ilegal, menunjukkan kesiapan pengamanan laut Indonesia.",real
"TNI dan Polri bersama-sama menggelar simulasi penanggulangan terorisme di beberapa kota besar, memperkuat kesiapsiagaan dalam menghadapi ancaman domestik.",real
"Latihan tempur yang dilaksanakan oleh TNI di Sumatra dihadiri oleh delegasi dari negara-negara sahabat, memperkuat diplomasi pertahanan Indonesia di kancah internasional.",real
"TNI Angkatan Udara melaksanakan uji coba pesawat tempur terbaru, yang akan digunakan untuk menjaga kedaulatan udara Indonesia.",real
"TNI dan sejumlah negara ASEAN menggelar latihan bersama untuk memperkuat kerjasama pertahanan di kawasan Asia Tenggara.",real
"Ratusan prajurit TNI menggelar patroli keamanan di kawasan perbatasan, menjaga stabilitas dan kedaulatan wilayah Indonesia.",real
"TNI melakukan operasi penyelamatan di daerah terdampak bencana alam, membantu masyarakat yang membutuhkan bantuan darurat dan medis.",real
  
